# ###########
# [default parameters]
#   OrderedDict([('NL', '20'), ('NR', '20'), ('GNL', '1e-4'), ('GNR', '1e-4'), ('GS', '1.'), ('wL', '5.'), ('wR', '3.'), ('lambdaL', '0.2'), ('lambdaR', '0.2'), ('QL', '1e5'), ('QR', '1e5'), ('TL', '10.'), ('TR', '10.'), ('muL', '-1e3'), ('muR', '-1e3'), ('ham', 'chargevib')])
# [assignments]
#   OrderedDict([('eLu', 'x'), ('eLd', 'x'), ('eRu', 'x'), ('eRd', 'x')])
# [variables]
#   ['x']
# [columns]
#   ['x', 'IL', 'IR', 'nL', 'nR', 'commL', 'commR', 'dotQL', 'dotQR']
# ###########
# 
-3.737600e+00 1.883733e-06 1.883733e-06 1.543077e+00 2.812347e+00 9.994016e-01 9.824651e-01 6.348170e-07 3.798813e-07
-3.734400e+00 1.884768e-06 1.884768e-06 1.543016e+00 2.812333e+00 9.994017e-01 9.824674e-01 6.196326e-07 3.781336e-07
-3.731200e+00 1.885922e-06 1.885922e-06 1.542980e+00 2.812258e+00 9.994019e-01 9.824693e-01 6.108127e-07 3.709392e-07
-3.728000e+00 1.887189e-06 1.887189e-06 1.542948e+00 2.812189e+00 9.994020e-01 9.824735e-01 6.028482e-07 3.637522e-07
-3.724800e+00 1.888565e-06 1.888565e-06 1.542844e+00 2.812319e+00 9.994026e-01 9.824734e-01 5.768237e-07 3.754609e-07
-3.721600e+00 1.890036e-06 1.890036e-06 1.542858e+00 2.812131e+00 9.994023e-01 9.824754e-01 5.805556e-07 3.581327e-07
-3.718400e+00 1.891605e-06 1.891605e-06 1.542834e+00 2.812059e+00 9.994024e-01 9.824770e-01 5.744968e-07 3.513318e-07
-3.715200e+00 1.893267e-06 1.893267e-06 1.542739e+00 2.812191e+00 9.994030e-01 9.824778e-01 5.506491e-07 3.630158e-07
-3.712000e+00 1.895009e-06 1.895009e-06 1.542772e+00 2.811973e+00 9.994026e-01 9.824801e-01 5.591995e-07 3.428972e-07
-3.708800e+00 1.896835e-06 1.896835e-06 1.542742e+00 2.811938e+00 9.994028e-01 9.824818e-01 5.517895e-07 3.393632e-07
-3.705600e+00 1.898738e-06 1.898738e-06 1.542706e+00 2.811921e+00 9.994028e-01 9.824819e-01 5.428707e-07 3.379055e-07
-3.702400e+00 1.900714e-06 1.900714e-06 1.542688e+00 2.811866e+00 9.994030e-01 9.824842e-01 5.385637e-07 3.323715e-07
-3.699200e+00 1.902760e-06 1.902760e-06 1.542662e+00 2.811833e+00 9.994030e-01 9.824844e-01 5.321243e-07 3.294773e-07
-3.696000e+00 1.904874e-06 1.904874e-06 1.542629e+00 2.811830e+00 9.994031e-01 9.824855e-01 5.238369e-07 3.289177e-07
-3.692800e+00 1.907051e-06 1.907051e-06 1.542624e+00 2.811751e+00 9.994031e-01 9.824870e-01 5.228296e-07 3.215275e-07
-3.689600e+00 1.909290e-06 1.909290e-06 1.542588e+00 2.811768e+00 9.994032e-01 9.824886e-01 5.137495e-07 3.226517e-07
-3.686400e+00 1.911587e-06 1.911587e-06 1.542562e+00 2.811752e+00 9.994033e-01 9.824879e-01 5.073602e-07 3.214941e-07
