# ###########
# [default parameters]
#   OrderedDict([('NL', '15'), ('NR', '15'), ('eLu', '0.7085'), ('eLd', '0.7085'), ('eRu', '0.7085'), ('eRd', '0.7085'), ('GNL', '1e-4'), ('GNR', '1e-4'), ('GS', '1.'), ('wL', '5.'), ('wR', '3.'), ('lambdaL', '0.05'), ('lambdaR', '0.05'), ('QL', '1e5'), ('QR', '1e5'), ('TOscL', '5.'), ('TOscR', '5.'), ('TelL', '5.'), ('TelR', '5.'), ('ham', 'chargevib')])
# [assignments]
#   OrderedDict([('muL', 'x'), ('muR', 'x')])
# [variables]
#   ['x']
# [columns]
#   ['x', 'IL', 'IR', 'IphL', 'IphR', 'nOscL', 'nOscR', 'nElL', 'nElR', 'dotEOscL', 'dotEOscR', 'dotEelL', 'dotEelR', 'eta', 'commL', 'commR']
# ###########
# 
-1.380000e+00 3.855273e-06 3.855273e-06 -1.046147e-06 1.058126e-06 5.608121e-01 1.249081e+00 4.591378e-01 4.591628e-01 -5.301444e-06 3.104015e-06 1.096261e-06 1.101168e-06 7.899456e-01 9.999928e-01 9.984403e-01
-1.400000e+00 3.910397e-06 3.910397e-06 -1.060935e-06 1.073078e-06 5.605125e-01 1.249568e+00 4.588832e-01 4.589082e-01 -5.376342e-06 3.147920e-06 1.111724e-06 1.116698e-06 7.785345e-01 9.999928e-01 9.984397e-01
-1.420000e+00 3.965493e-06 3.965493e-06 -1.075709e-06 1.088018e-06 5.602131e-01 1.250054e+00 4.586285e-01 4.586536e-01 -5.451175e-06 3.191789e-06 1.127173e-06 1.132214e-06 7.674448e-01 9.999928e-01 9.984392e-01
-1.440000e+00 4.020560e-06 4.020560e-06 -1.090470e-06 1.102946e-06 5.599140e-01 1.250541e+00 4.583737e-01 4.583988e-01 -5.525942e-06 3.235621e-06 1.142607e-06 1.147715e-06 7.566631e-01 9.999928e-01 9.984386e-01
-1.460000e+00 4.075598e-06 4.075598e-06 -1.105218e-06 1.117863e-06 5.596152e-01 1.251026e+00 4.581188e-01 4.581440e-01 -5.600644e-06 3.279416e-06 1.158027e-06 1.163201e-06 7.461767e-01 9.999928e-01 9.984381e-01
-1.480000e+00 4.130606e-06 4.130606e-06 -1.119951e-06 1.132769e-06 5.593166e-01 1.251512e+00 4.578639e-01 4.578890e-01 -5.675279e-06 3.323173e-06 1.173433e-06 1.178673e-06 7.359737e-01 9.999928e-01 9.984375e-01
-1.500000e+00 4.185585e-06 4.185585e-06 -1.134671e-06 1.147662e-06 5.590183e-01 1.251997e+00 4.576088e-01 4.576340e-01 -5.749848e-06 3.366893e-06 1.188824e-06 1.194130e-06 7.260427e-01 9.999928e-01 9.984370e-01
-1.520000e+00 4.240534e-06 4.240534e-06 -1.149377e-06 1.162544e-06 5.587203e-01 1.252481e+00 4.573536e-01 4.573788e-01 -5.824349e-06 3.410576e-06 1.204200e-06 1.209573e-06 7.163730e-01 9.999928e-01 9.984365e-01
-1.540000e+00 4.295453e-06 4.295453e-06 -1.164070e-06 1.177414e-06 5.584225e-01 1.252965e+00 4.570983e-01 4.571236e-01 -5.898783e-06 3.454221e-06 1.219562e-06 1.225000e-06 7.069545e-01 9.999928e-01 9.984359e-01
-1.560000e+00 4.350341e-06 4.350341e-06 -1.178748e-06 1.192272e-06 5.581250e-01 1.253449e+00 4.568430e-01 4.568683e-01 -5.973150e-06 3.497828e-06 1.234909e-06 1.240413e-06 6.977773e-01 9.999929e-01 9.984354e-01
-1.580000e+00 4.405199e-06 4.405199e-06 -1.193412e-06 1.207118e-06 5.578278e-01 1.253932e+00 4.565875e-01 4.566129e-01 -6.047448e-06 3.541396e-06 1.250241e-06 1.255811e-06 6.888325e-01 9.999929e-01 9.984348e-01
-1.600000e+00 4.460026e-06 4.460026e-06 -1.208062e-06 1.221952e-06 5.575308e-01 1.254415e+00 4.563320e-01 4.563574e-01 -6.121678e-06 3.584926e-06 1.265558e-06 1.271194e-06 6.801113e-01 9.999929e-01 9.984343e-01
-1.620000e+00 4.514821e-06 4.514821e-06 -1.222698e-06 1.236774e-06 5.572342e-01 1.254898e+00 4.560764e-01 4.561018e-01 -6.195839e-06 3.628418e-06 1.280860e-06 1.286561e-06 6.716054e-01 9.999929e-01 9.984337e-01
-1.640000e+00 4.569584e-06 4.569584e-06 -1.237319e-06 1.251583e-06 5.569378e-01 1.255380e+00 4.558207e-01 4.558462e-01 -6.269931e-06 3.671870e-06 1.296147e-06 1.301913e-06 6.633069e-01 9.999929e-01 9.984332e-01
-1.660000e+00 4.624316e-06 4.624316e-06 -1.251926e-06 1.266380e-06 5.566416e-01 1.255861e+00 4.555649e-01 4.555904e-01 -6.343953e-06 3.715283e-06 1.311419e-06 1.317250e-06 6.552083e-01 9.999929e-01 9.984326e-01
-1.680000e+00 4.679015e-06 4.679015e-06 -1.266519e-06 1.281165e-06 5.563458e-01 1.256342e+00 4.553091e-01 4.553346e-01 -6.417905e-06 3.758657e-06 1.326676e-06 1.332572e-06 6.473026e-01 9.999929e-01 9.984321e-01
-1.700000e+00 4.733683e-06 4.733683e-06 -1.281097e-06 1.295937e-06 5.560503e-01 1.256823e+00 4.550531e-01 4.550787e-01 -6.491787e-06 3.801991e-06 1.341917e-06 1.347878e-06 6.395828e-01 9.999929e-01 9.984316e-01
-1.720000e+00 4.788317e-06 4.788317e-06 -1.295661e-06 1.310696e-06 5.557550e-01 1.257303e+00 4.547971e-01 4.548227e-01 -6.565598e-06 3.845286e-06 1.357143e-06 1.363169e-06 6.320425e-01 9.999929e-01 9.984310e-01
